Country,Title,Price,Discount,Rating,Number of Ratings
UK,Apple,449.0,0,4.7,3632
UK,Apple,739.0,0,4.5,209
UK,Apple,639.0,0,4.6,4577
UK,"Apple iPhone 13, 128GB, Midnight - (Renewed)",290.0,0,4.0,747
UK,"Apple iPhone 12, 64GB, Black (Renewed)",193.0,0,4.0,10389
UK,Apple,1129.0,0,4.5,244
UK,Apple,599.0,0,4.0,10
UK,Apple,,0,4.6,7151
UK,Apple,949.0,0,4.3,301
UK,"Apple iPhone 14, 128GB, Midnight - (Renewed)",369.66,0,4.1,737
UK,"Apple iPhone 11, 64GB, Black (Renewed)",177.69,0,4.2,4024
UK,Apple,,0,4.5,3817
UK,"Apple iPhone 13, 128GB, Starlight - (Renewed)",310.74,0,4.1,176
UK,"Apple iPhone 14 Pro, 128GB, Deep Purple - (Renewed)",469.95,0,4.0,738
UK,"Apple iPhone 13, 128GB, Pink - (Renewed)",305.99,0,4.2,378
UK,"Apple iPhone 12 Pro, 128GB, Pacific Blue - (Renewed)",282.04,0,4.0,6502
India,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",73900.0,8,4.4,413
India,"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium",112900.0,6,4.3,174
India,"iPhone 16 Pro 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium",122900.0,5,4.3,174
India,Apple iPhone 15 (128 GB) - Black,61500.0,23,4.5,3172
India,"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black",84400.0,6,4.4,413
India,Apple iPhone 15 (128 GB) - Pink,61900.0,11,4.5,3172
India,Apple iPhone 15 (128 GB) - Blue,61900.0,23,4.5,3172
India,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine",73400.0,8,4.4,413
India,Apple iPhone 13 (128GB) - Blue,44999.0,25,4.5,33131
India,Apple iPhone 15 (128 GB) - Green,62400.0,22,4.5,3172
India,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink",73900.0,8,4.4,413
India,"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Desert Titanium",137900.0,5,4.3,159
India,Apple iPhone 15 (256 GB) - Black,71900.0,10,4.5,3172
India,"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black",58400.0,3,4.1,33
India,"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal",73400.0,18,4.4,413
India,Apple iPhone 15 Plus (128 GB) - Black,72900.0,9,4.6,1319
US,"Apple iPhone 13, 128GB, Pink - Unlocked (Renewed)",319.95,0,4.0,15056
US,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",199.0,0,4.2,55448
US,"Apple iPhone 14 Pro, 128GB, Space Black - Unlocked (Renewed)",478.26,0,4.0,3259
US,"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed Premium)",372.97,0,4.3,1708
US,"Apple iPhone 12, 128GB, Blue - Fully Unlocked (Renewed)",242.6,0,4.1,29333
US,"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)",347.99,0,4.1,4335
US,"Screen Replacement for iPhone 15 Pro Max 6.7', 3D Touch Display Full Repair kit, Digitizer Assembly with Tools Set, Tempered Glass, Instruction",94.99,10,4.2,1324
US,"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed)",190.86,0,4.0,15306
US,"Apple iPhone 13 Pro, 128GB, Graphite - Unlocked (Renewed)",374.99,0,4.1,5972
US,"Apple iPhone SE (2nd Generation), US Version, 64GB, White - Unlocked (Renewed)",108.14,0,4.2,20254
US,"Apple iPhone 15 Pro Max, 256GB, Natural Titanium - Unlocked (Renewed)",829.97,0,3.9,941
US,"Apple iPhone 15, 128GB, Black - Unlocked (Renewed Premium)",554.99,0,4.2,301
US,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",158.8,0,4.4,66023
US,"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)",304.99,0,4.1,11584
US,Apple iPhone 7 32GB Unlocked AT&T/T-Mobile - Silver,79.99,0,4.0,157
US,"Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)",413.99,0,4.2,1991
DE,"Apple iPhone 13, 128GB, Mitternacht - (Generalüberholt)",34999.0,0,,0
DE,"Apple iPhone 16 128 GB: 5G Handy mit Kamerasteuerung, A18 Chip und einem echten Boost für die Batterie. Funktioniert mit AirPods, Schwarz",84900.0,0,,0
DE,Apple iPhone 15 (128 GB) - Schwarz,76390.0,0,,0
DE,"Apple iPhone 12, 64GB, Schwarz - (Generalüberholt)",25900.0,0,,0
DE,"iPhone 16e 128 GB: Entwickelt für Apple Intelligence, A18 Chip, Gigantische Batterielaufzeit, 48 MP Fusion Kamera, 6,1"" Super Retina XDR Display, Schwarz",68900.0,0,,0
DE,Apple iPhone 13 (128 GB) - Mitternacht,58900.0,0,,0
DE,"Apple iPhone SE 2. Generation, 64GB, Schwarz (Generalüberholt)",13788.0,0,,0
DE,"Apple iPhone 11, 64GB, Schwarz (Generalüberholt)",19642.0,0,,0
DE,"Apple iPhone 12 mini, 128GB, Schwarz - (Generalüberholt)",23012.0,0,,0
DE,"Apple iPhone 16 Pro 128 GB: 5G Handy mit Kamerasteuerung, 4K 120 fps Dolby Vision und einem großen Sprung bei der Batterielaufzeit. Funktioniert mit AirPods, Titan Natur",1.04252,0,,0
DE,"Apple iPhone XR, 64GB - Schwarz (Generalüberholt)",18289.0,0,,0
DE,"Apple iPhone 12 Pro, 256GB, Graphit - (Generalüberholt)",39900.0,0,,0
DE,"Apple AirTag - Finde und behalte Deine Sachen im Blick: Schlüssel, Geldbörsen, Gepäck, Rucksäcke und mehr. Einfaches Einrichten mit iPhone oder iPad. Austauschbare Batterie",2989.0,0,,0
DE,Apple iPhone 14 128GB - Mitternacht (Generalüberholt),45100.0,0,,0
DE,Apple iPhone 13 128GB - Mitternacht (Generalüberholt),33988.0,0,,0
DE,"Apple iPhone 13 Pro, 128GB, Graphit - (Generalüberholt)",45999.0,0,,0
FR,Apple iPhone 16 Pro Max (256 Go) - Titane Sable + Coque Transparente avec MagSafe,,0,,745
FR,"NEW'C Lot de 2, Verre Trempé pour iPhone 11 et iPhone XR, Film Protection écran - Sans Bulles d'air -Ultra Résistant (0,33mm HD Ultra Transparent) Dureté 9H Glass",537.0,0,,100130
FR,"Lot de 2 pour Chargeur Rapide iPhone, 20W PD USB-C Prise Secteur avec 2m Câble USB C vers Lightning pour iPhone 14/14 pro/13/13 Pro/13 Pro Max/13 Min",1383.0,0,,1122
FR,"NEW'C Lot de 2, Verre Trempé pour iPhone 12, 12 Pro (6,1 Pouces), Film Protection écran -sans Bulles d'air -Ultra Résistant (0,33mm HD Ultra Transparent) Dureté 9H Glass",595.0,0,,21437
FR,"NEW'C Lot de 3, Verre Trempé Anti-Espion pour iPhone 14, iPhone 13, iPhone 13 Pro (6,1 Pouces), Angle de Confidentialité 28 Degrés Amélioré, Dureté Ultra-Résistante 9H, Sans Bulles",895.0,0,,2375
FR,"NEW'C Lot de 2, Verre Trempé pour iPhone 11 Pro et iPhone X et iPhone XS (5,8 Pouces), Film Protection écran sans Bulles d'air Ultra Résistant (0,33mm HD Ultra Transparent) Dureté 9H Glass",595.0,0,,11575
FR,"JETech Coque Magnétique pour iPhone 15 6,1 Pouces Compatible avec MagSafe, Etui Translucide Mat Arrière Housse Fine Antichoc (Noir)",1599.0,0,,5896
FR,"Chargeur Rapide for iPhone 14/14/Pro/14 Pro Max/14 Plus/13 12 11 SE XR X XS 8, 30W USBC Charger Prise Secteur Type C Alimentation USB C Adaptateur et 2M Cable",1099.0,54,,52
FR,"JETech Coque en Silicone pour iPhone 13 6,1 Pouces, étui de Protection Complète du Corps au Toucher Soyeux, Housse Doublure Douce en Tissu Microfibre, Anti-Chocs (Noir)",1139.0,0,,11649
