Title,Price,Discount,Rating,Number of Ratings,Delivery Details
"Apple iPhone 13, 128GB, Mitternacht - (Generalüberholt)","349,99 €",0,"3,9 von 5 Sternen",1.334,27. - 29. März
"Apple iPhone 16 128 GB: 5G Handy mit Kamerasteuerung, A18 Chip und einem echten Boost für die Batterie. Funktioniert mit AirPods, Schwarz","849,00 €",0,"4,4 von 5 Sternen",650,"Fr., 28. März"
Apple iPhone 15 (128 GB) - Schwarz,"763,90 €",0,"4,5 von 5 Sternen",4.854,"Fr., 28. März"
"Apple iPhone 12, 64GB, Schwarz - (Generalüberholt)","259,00 €",0,"3,8 von 5 Sternen",11.593,"Fr., 28. März"
"iPhone 16e 128 GB: Entwickelt für Apple Intelligence, A18 Chip, Gigantische Batterielaufzeit, 48 MP Fusion Kamera, 6,1"" Super Retina XDR Display, Schwarz","689,00 €",0,"4,5 von 5 Sternen",39,"Fr., 28. März"
Apple iPhone 13 (128 GB) - Mitternacht,"589,00 €",0,"4,7 von 5 Sternen",9.533,"Fr., 28. März"
"Apple iPhone SE 2. Generation, 64GB, Schwarz (Generalüberholt)","137,88 €",0,"4,1 von 5 Sternen",8.308,"Sa., 29. März"
"Apple iPhone 11, 64GB, Schwarz (Generalüberholt)","196,42 €",0,"3,8 von 5 Sternen",13.223,"Do., 27. März"
"Apple iPhone 12 mini, 128GB, Schwarz - (Generalüberholt)","230,12 €",0,"3,8 von 5 Sternen",6.842,28. - 29. März
"Apple iPhone 16 Pro 128 GB: 5G Handy mit Kamerasteuerung, 4K 120 fps Dolby Vision und einem großen Sprung bei der Batterielaufzeit. Funktioniert mit AirPods, Titan Natur","1.042,52 €",0,"4,4 von 5 Sternen",832,"Fr., 28. März"
"Apple iPhone XR, 64GB - Schwarz (Generalüberholt)","182,89 €",0,"4,0 von 5 Sternen",2.599,"Fr., 28. März"
"Apple iPhone 12 Pro, 256GB, Graphit - (Generalüberholt)","399,00 €",0,"3,6 von 5 Sternen",6.508,27. - 28. März
"Apple AirTag - Finde und behalte Deine Sachen im Blick: Schlüssel, Geldbörsen, Gepäck, Rucksäcke und mehr. Einfaches Einrichten mit iPhone oder iPad. Austauschbare Batterie","29,89 €",0,"4,7 von 5 Sternen",126.580,"Fr., 28. März"
Apple iPhone 14 128GB - Mitternacht (Generalüberholt),"451,00 €",0,"3,9 von 5 Sternen",737,"Fr., 28. März"
Apple iPhone 13 128GB - Mitternacht (Generalüberholt),"339,88 €",0,"3,9 von 5 Sternen",744,31. März - 3. Apr.
"Apple iPhone 13 Pro, 128GB, Graphit - (Generalüberholt)","459,99 €",0,"3,8 von 5 Sternen",224,28. - 29. März
