Title,Price,Discount,Rating,Number of Ratings,Delivery Details
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","73,900",8,4.4 out of 5 stars,413,"Fri, 28 Mar"
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium","1,12,900",6,4.3 out of 5 stars,174,"Thu, 27 Mar"
"iPhone 16 Pro 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium","1,22,900",5,4.3 out of 5 stars,174,"Thu, 27 Mar"
Apple iPhone 15 (128 GB) - Black,"61,500",23,4.5 out of 5 stars,"3,172","Fri, 28 Mar"
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","84,400",6,4.4 out of 5 stars,413,"Thu, 27 Mar"
Apple iPhone 15 (128 GB) - Pink,"61,900",11,4.5 out of 5 stars,"3,172","Fri, 28 Mar"
Apple iPhone 15 (128 GB) - Blue,"61,900",23,4.5 out of 5 stars,"3,172","Fri, 28 Mar"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine","73,400",8,4.4 out of 5 stars,413,"Thu, 27 Mar"
Apple iPhone 13 (128GB) - Blue,"44,999",25,4.5 out of 5 stars,"33,131","Fri, 28 Mar"
Apple iPhone 15 (128 GB) - Green,"62,400",22,4.5 out of 5 stars,"3,172","Thu, 27 Mar"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink","73,900",8,4.4 out of 5 stars,413,"Thu, 27 Mar"
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Desert Titanium","1,37,900",5,4.3 out of 5 stars,159,29 - 30 Mar
Apple iPhone 15 (256 GB) - Black,"71,900",10,4.5 out of 5 stars,"3,172","Fri, 28 Mar"
"iPhone 16e 128 GB: Built for Apple Intelligence, A18 Chip, Supersized Battery Life, 48MP Fusion. Camera, 15.40 cm (6.1″) Super Retina XDR Display; Black","58,400",3,4.1 out of 5 stars,33,"Thu, 27 Mar"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Teal","73,400",18,4.4 out of 5 stars,413,"Fri, 28 Mar"
Apple iPhone 15 Plus (128 GB) - Black,"72,900",9,4.6 out of 5 stars,"1,319","Fri, 28 Mar"
