Title,Price,Discount,Rating,Number of Ratings,Delivery Details
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","73,400",8,4.4 out of 5 stars,376,"Fri, 21 Mar"
Apple iPhone 14 Plus (256 GB) - Starlight,"66,900",33,4.5 out of 5 stars,"2,184","Thu, 20 Mar"
"iPhone 16 Pro 128 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Natural Titanium","1,12,900",6,4.3 out of 5 stars,166,"Thu, 20 Mar"
Apple iPhone 15 (128 GB) - Black,"61,900",23,4.5 out of 5 stars,"3,147","Fri, 21 Mar"
Apple iPhone 15 (128 GB) - Pink,"61,900",11,4.5 out of 5 stars,"3,147","Fri, 21 Mar"
Apple iPhone 13 (128GB) - Starlight,"44,999",10,4.5 out of 5 stars,"33,018","Sat, 22 Mar"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Ultramarine","72,900",9,4.4 out of 5 stars,376,"Thu, 20 Mar"
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Desert Titanium","1,37,900",5,4.3 out of 5 stars,150,"Mon, 24 Mar"
"iPhone 16 256 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Black","83,900",7,4.4 out of 5 stars,376,"Fri, 21 Mar"
Apple iPhone 15 (128 GB) - Green,"61,900",23,4.5 out of 5 stars,"3,147","Fri, 21 Mar"
"iPhone 16 128 GB: 5G Mobile Phone with Camera Control, A18 Chip and a Big Boost in Battery Life. Works with AirPods; Pink","73,400",8,4.4 out of 5 stars,376,"Thu, 20 Mar"
Apple iPhone 13 (128GB) - Blue,"44,999",25,4.5 out of 5 stars,"33,018","Thu, 20 Mar"
"iPhone 16 Pro Max 256 GB: 5G Mobile Phone with Camera Control, 4K 120 fps Dolby Vision and a Huge Leap in Battery Life. Works with AirPods; Black Titanium","1,35,900",6,4.3 out of 5 stars,150,"Fri, 21 Mar"
Apple iPhone 15 Plus (128 GB) - Black,"72,400",9,4.6 out of 5 stars,"1,297","Fri, 21 Mar"
Apple iPhone 15 (128 GB) - Blue,"61,900",23,4.5 out of 5 stars,"3,147","Mon, 24 Mar"
Apple iPhone 14 Plus (512 GB) - (Product) RED,"69,900",42,4.5 out of 5 stars,"2,184","Fri, 21 Mar"
